date,inflow
2019-10,412.3415296
2019-11,488.4602081
2019-12,521.1304654
2020-01,438.0670311
2020-02,407.0048789
2020-03,524.5782307
2020-04,524.9520102
2020-05,1284.570173
2020-06,1305.228857
2020-07,338.7661201
2020-08,207.8672382
2020-09,275.6077309
2020-10,259.0406298
2020-11,287.1218255
2020-12,221.4024199
2021-01,248.9959494
2021-02,240.2239736
2021-03,304.1150952
2021-04,288.2098692
2021-05,526.2469386
2021-06,658.0612819
2021-07,320.6385322
2021-08,462.371882
2021-09,388.8663909
2021-10,431.8864039
2021-11,352.3920799
2021-12,300.7259228
2022-01,275.8324607
