date,pool elevation
1971-3,3602.4375312499997
1971-4,3602.6745212903234
1971-5,3605.7793809375003
1971-6,3615.111958709677
1971-7,3621.630020625
1971-8,3618.7287521875
1971-9,3615.7319254838712
1971-10,3614.1274946875
1971-11,3613.0780458064514
1971-12,3610.491561875
1972-1,3608.5503159375
1972-2,3608.025692333333
1972-3,3611.471878125
1972-4,3611.806120645161
1972-5,3610.4506146875
1972-6,3617.062247741935
1972-7,3617.919998125
1972-8,3612.02035625
1972-9,3606.0583567741946
1972-10,3605.5929334374996
1972-11,3609.407463870967
1972-12,3607.6893846875
1973-1,3603.3793559375
1973-2,3600.626229655172
1973-3,3600.6171875
1973-4,3593.4986922580642
1973-5,3602.7681196875
1973-6,3627.7945203225804
1973-7,3641.2074809375
1973-8,3644.7327953125005
1973-9,3645.815783548387
1973-10,3645.8765640624997
1973-11,3646.1719380645163
1973-12,3647.75405875
1974-1,3647.3940503125
1974-2,3648.0727451724138
1974-3,3649.903121875
1974-4,3651.5635554838714
1974-5,3657.7931134375003
1974-6,3665.768397419354
1974-7,3665.0056540625
1974-8,3659.3609390625
1974-9,3653.5586958064523
1974-10,3651.0053178125
1974-11,3650.118691290322
1974-12,3648.90719625
1975-1,3646.3903200000004
1975-2,3645.7410168965516
1975-3,3645.88314875
1975-4,3646.5506635483875
1975-5,3650.455338125
1975-6,3662.8274161290324
1975-7,3673.2347034375
1975-8,3673.4196853124995
1975-9,3669.778399354839
1975-10,3666.82626375
1975-11,3666.9722545161294
1975-12,3667.5296625
1976-1,3667.3737565624997
1976-2,3666.2586336666654
1976-3,3664.969649375
1976-4,3664.5815896774197
1976-5,3665.5003284375
1976-6,3670.574170967742
1976-7,3671.3943709375
1976-8,3669.2034221875
1976-9,3665.558397096774
1976-10,3662.6909409375
1976-11,3659.506756774194
1976-12,3656.5087509375
1977-1,3653.448135625
1977-2,3651.620689655172
1977-3,3650.967483125
1977-4,3652.0125851612897
1977-5,3653.367813125
1977-6,3654.6038538709677
1977-7,3651.38967875
1977-8,3645.4815753125
1977-9,3639.3948464516125
1977-10,3635.9615475
1977-11,3635.0906390322584
1977-12,3632.564040625
