date,pool elevation
1956-1,1090.0975071875
1956-2,1088.0216673333334
1956-3,1085.3062509375
1956-4,1083.6322648387097
1956-5,1089.7834365625
1956-6,1110.468705483871
1956-7,1115.9253084375
1956-8,1112.78469125
1956-9,1108.0361290322583
1956-10,1103.972503125
1956-11,1100.5938677419354
1956-12,1098.153435
1957-1,1095.9650075
1957-2,1094.4541365517243
1957-3,1093.4962534375
1957-4,1090.5764406451613
1957-5,1099.539379375
1957-6,1130.6774148387096
1957-7,1167.040630625
1957-8,1180.4675025000001
1957-9,1183.4532270967738
1957-10,1182.084696875
1957-11,1182.6661303225803
1957-12,1179.7484359374998
1958-1,1174.1359365625
1958-2,1169.6893103448276
1958-3,1165.7065656250002
1958-4,1162.4835519354835
1958-5,1173.0300003124999
1958-6,1199.3648441935488
1958-7,1204.9390603124998
1958-8,1200.956550625
1958-9,1196.9825838709676
1958-10,1194.1084290625
1958-11,1191.1045122580642
1958-12,1187.5865518750002
1959-1,1184.1203115624999
1959-2,1181.1248355172415
1959-3,1178.2896771875
1959-4,1174.5419367741936
1959-5,1171.8928143750002
1959-6,1175.8254751612906
1959-7,1180.649048125
1959-8,1177.389071875
1959-9,1173.418389677419
1959-10,1170.1696928125
1959-11,1169.3586977419352
1959-12,1167.7859340625
1960-1,1166.1075096875002
1960-2,1164.51899
1960-3,1163.4603153125
1960-4,1167.2716177419356
1960-5,1172.10500625
1960-6,1179.6690354838713
1960-7,1183.007813125
1960-8,1178.1934421874998
1960-9,1172.6783958064514
1960-10,1168.9912562499999
1960-11,1168.1303319354836
1960-12,1166.1959275
1961-1,1163.83844
1961-2,1161.719642758621
1961-3,1158.5481228125
1961-4,1154.6215977419358
1961-5,1153.196565
1961-6,1158.9980587096775
1961-7,1159.953125
1961-8,1155.6024975
1961-9,1153.8274167741934
1961-10,1154.4987553125002
1961-11,1155.3374100000003
1961-12,1154.9724965625
1962-1,1154.11938
1962-2,1154.5158686206898
1962-3,1155.5678021875
1962-4,1159.0141870967743
1962-5,1177.2593721875
1962-6,1191.7403170967743
1962-7,1202.89468
1962-8,1202.539066875
1962-9,1198.957096451613
1962-10,1197.072804375
1962-11,1195.988068064516
1962-12,1194.1143715625
1963-1,1192.201568125
1963-2,1190.2879379310345
1963-3,1187.4449959375
1963-4,1181.7683893548387
1963-5,1175.6450084375
1963-6,1169.708051612903
1963-7,1163.7193721875
1963-8,1156.962494375
1963-9,1151.5358061290324
1963-10,1146.824989375
1963-11,1143.1948470967743
1963-12,1139.2896915625
1964-1,1134.117809375
1964-2,1130.0800003333331
1964-3,1125.799999375
1964-4,1123.6777458064516
1964-5,1122.328430625
1964-6,1115.6480474193547
1964-7,1107.8828159374998
1964-8,1101.0518690625
1964-9,1095.9132303225806
1964-10,1091.6356278125
1964-11,1089.3800012903225
1964-12,1088.4881165625
1965-1,1088.9284290625
1965-2,1090.1596513793104
1965-3,1089.1406365624998
1965-4,1090.5496632258066
1965-5,1101.6034290625
1965-6,1118.970324516129
1965-7,1124.8646925
1965-8,1124.04312125
1965-9,1124.8225809677417
1965-10,1125.0137484375
1965-11,1126.9087187096777
1965-12,1128.7456278125
1966-1,1130.8874965625
1966-2,1133.3144824137933
1966-3,1132.4840656249999
1966-4,1132.2796716129033
1966-5,1132.685623125
1966-6,1133.1290167741938
1966-7,1131.4515646875
1966-8,1129.2228234375002
1966-9,1127.6358058064518
1966-10,1128.00563
1966-11,1129.090324516129
1966-12,1131.1931224999998
1967-1,1132.898119375
1967-2,1133.5651772413794
1967-3,1132.76218375
1967-4,1131.56613
1967-5,1131.43624875
1967-6,1131.0854841935484
1967-7,1129.7987524999999
1967-8,1128.6874890625
1967-9,1129.2886925806451
1967-10,1129.4478221875
1967-11,1128.0590306451613
1967-12,1128.80468375
1968-1,1131.13625
1968-2,1132.4963383333334
1968-3,1132.6803128125
1968-4,1133.6803167741934
1968-5,1134.670005625
1968-6,1135.5116006451615
1968-7,1136.0943862499998
1968-8,1136.7537499999999
1968-9,1136.9948261290322
1968-10,1136.5290709375
1968-11,1138.2780722580644
1968-12,1139.2978128125
1969-1,1139.7440525000002
1969-2,1140.8258603448276
1969-3,1139.9493784375
1969-4,1140.3200061290324
1969-5,1141.50000375
1969-6,1141.4290432258065
1969-7,1142.6759415625
1969-8,1144.1940659375
1969-9,1146.2106448387096
1969-10,1146.8699909375
1969-11,1148.5606406451614
1969-12,1151.4124990625
1970-1,1153.6240584375
1970-2,1153.5300000000002
1970-3,1152.0528212499999
1970-4,1150.764513870968
1970-5,1150.915619375
1970-6,1150.668712903226
1970-7,1150.8356209375
1970-8,1150.6549990625
1970-9,1151.939978387097
1970-10,1152.2990571874998
1970-11,1151.5106441935486
1970-12,1152.1874956249999
1971-1,1153.161251875
1971-2,1151.4186124137932
1971-3,1149.4518784375
1971-4,1148.697100645161
1971-5,1148.7206309375
1971-6,1149.3222538709676
1971-7,1150.61343
1971-8,1151.6087453125
1971-9,1153.4396741935482
1971-10,1154.0324909375
1971-11,1155.4435522580648
1971-12,1158.4156221875
1972-1,1161.4590640625001
1972-2,1162.0376549999999
1972-3,1158.5862534375
1972-4,1154.8935545161291
1972-5,1154.4281303125
1972-6,1154.6983806451613
1972-7,1154.578430625
1972-8,1155.6253209375
1972-9,1157.358057419355
1972-10,1160.04593625
1972-11,1162.7561309677417
1972-12,1166.09906
1973-1,1170.7906153125
1973-2,1173.6569093103446
1973-3,1176.2331246874999
1973-4,1182.756138387097
1973-5,1186.514380625
1973-6,1186.1025825806453
1973-7,1185.933440625
1973-8,1183.5553240625
1973-9,1181.0532383870966
1973-10,1179.688106875
1973-11,1179.2058025806455
1973-12,1177.8040653125
1974-1,1178.518766875
1974-2,1179.1913768965517
1974-3,1176.5318828125
1974-4,1172.8025774193547
1974-5,1170.1899946875
1974-6,1169.2822403225807
1974-7,1170.68750375
1974-8,1172.5456346875
1974-9,1173.6748403225806
1974-10,1173.847186875
1974-11,1175.0154906451612
1974-12,1176.2468796875
1975-1,1178.0406228124998
1975-2,1178.6062175862069
1975-3,1177.8503153125
1975-4,1175.5635548387097
1975-5,1174.0193787499998
1975-6,1174.278710967742
1975-7,1175.7868693750002
1975-8,1177.7400115625
1975-9,1179.0361258064515
1975-10,1180.5403128125
1975-11,1179.8654861290327
1975-12,1179.6368678125
1976-1,1180.158115625
1976-2,1181.975341666667
1976-3,1182.2134434375
1976-4,1180.2941970967743
1976-5,1179.826553125
1976-6,1180.6506399999998
1976-7,1180.2303165624999
1976-8,1178.653119375
1976-9,1178.1845112903227
1976-10,1181.134376875
1976-11,1184.5751558064514
1976-12,1187.6734325
1977-1,1190.8562503125
1977-2,1193.1975931034485
1977-3,1191.1687468750001
1977-4,1186.9451632258065
1977-5,1181.1109387499998
1977-6,1177.4403270967741
1977-7,1176.1409415624998
1977-8,1176.61187375
1977-9,1179.1806451612906
1977-10,1180.48780125
1977-11,1179.8900070967743
1977-12,1179.5053021875
1978-1,1183.63561625
1978-2,1187.351032413793
1978-3,1188.9540603125
1978-4,1187.3864545161293
1978-5,1185.081879375
1978-6,1184.8112916129032
1978-7,1184.1096921875
1978-8,1183.4134374999999
1978-9,1185.0971083870968
1978-10,1185.8843725
1978-11,1187.4209651612905
1978-12,1190.7700084374999
1979-1,1196.2334368749998
1979-2,1201.5069034482758
1979-3,1201.7034456249999
1979-4,1200.5322583870968
1979-5,1198.5725059375
1979-6,1196.5454699999998
1979-7,1195.1218759375
1979-8,1195.453755
1979-9,1195.4712977419354
1979-10,1195.3265571875
1979-11,1196.1241887096776
1979-12,1197.4865640624998
1980-1,1198.1912528125
1980-2,1201.1199989999998
1980-3,1203.7934340625
1980-4,1202.2083887096774
1980-5,1200.9025034375
1980-6,1200.930644516129
1980-7,1204.1381321875
1980-8,1204.7181215625
1980-9,1204.7422577419352
1980-10,1204.1990621875002
1980-11,1203.2890470967745
1980-12,1203.2346840625
1981-1,1203.0581134375
1981-2,1204.3489731034483
1981-3,1203.5459396875
1981-4,1200.081932580645
1981-5,1197.179985
1981-6,1195.1167774193548
1981-7,1192.9515615625
1981-8,1192.9775015625
